ID,Categoría,Nombre,Costo,Proveedor,Unidad,Control de Stock,Stock,Merma
335,Dulces y Chocolates,Chocolate en polvo Kg,98.57,Aurrera,kg,Si,1.4,5.0
284,Dulces y Chocolates,Chocomenta mini - selfies,115.78,DULCERIA LA ESPECIAL,kg,Si,0.435,5.0
163,Dulces y Chocolates,CUANDA LUCKY MANGUITO 1/8,65.49,DULCERIA LA ESPECIAL,kg,Si,,5.0
283,Dulces y Chocolates,Gomitas Lombriz - Cuanda 1kg,93.0,DULCERIA LA ESPECIAL,kg,Si,-4.319,5.0
334,Dulces y Chocolates,Jarabe Caramelo,80.88,Aurrera,kg,Si,0.68,5.0
313,Dulces y Chocolates,Jarabe Hershey's Chocolate kg,87.0,Sam's Club,kg,Si,7.08,5.0
216,Dulces y Chocolates,Jarabe Hershey's fresa kg,123.73,Aurrera,kg,Si,2.089,5.0
288,Dulces y Chocolates,Kinder bueno - Ferrero 43g,18.22,DULCERIA LA ESPECIAL,unid.,Si,3.0,
286,Dulces y Chocolates,Mazapán Jumbo - La Rosa 50g,4.63,DULCERIA LA ESPECIAL,unid.,Si,-32.0,
287,Dulces y Chocolates,Mazapan Polvo - La Rosa 1kg,94.2,DULCERIA LA ESPECIAL,kg,Si,-6.354,3.0
215,Dulces y Chocolates,Mermelada McCormick zarzamora 670 g,59.0,Aurrera,unid.,Si,0.5,5.0
368,Embutidos,chuleta ahumada,25.0,,unid.,Si,,
353,Embutidos,COMBINADA,0.0,Sigma Foodservice,kg,Si,,0.0
126,Embutidos,Mayonesa Cda,1.25,Aurrera,unid.,Si,,7.0
247,Embutidos,Peperoni,132.0,Aurrera,kg,Si,-2.941,7.0
351,Embutidos,QUESO,0.0,Sigma Foodservice,kg,Si,,0.0
202,Embutidos,Rebanada Jamón,0.0,Aurrera,unid.,Si,-430.5,
352,Embutidos,SALCHICHA,0.0,Sigma Foodservice,kg,Si,,0.0
369,Embutidos,salchichas,20.0,,unid.,Si,,
133,Frutas y Verduras,Ajo,12.0,Aurrera,unid.,Si,,7.0
113,Frutas y Verduras,Apio,82.35,Aurrera,kg,Si,,15.0
132,Frutas y Verduras,Cebolla,28.57,Aurrera,kg,No,0.346,7.0
251,Frutas y Verduras,Champiñones,151.4716,Sam's Club,kg,Si,0.0,30.0
249,Frutas y Verduras,Champiñones Monte Blanco (380 g),57.55,Sam's Club,unid.,Si,1.2,0.0
319,Frutas y Verduras,Chile cuaresmeño por kilo,50.0,Aurrera,kg,Si,-0.183,3.0
204,Frutas y Verduras,Chile de árbol Great Value 100 g,30.0,Aurrera,unid.,Si,1.0,3.0
205,Frutas y Verduras,Chile guajillo por kilo,325.0,Aurrera,kg,Si,0.791,3.0
321,Frutas y Verduras,Chile habanero por kilo,108.48,Aurrera,kg,Si,0.098,7.0
129,Frutas y Verduras,Chile Serrano por kilo,97.0,Aurrera,kg,Si,-1.636,7.0
343,Frutas y Verduras,Fresa natural,140.0,Aurrera,kg,Si,,7.0
211,Frutas y Verduras,Jitomate saladet por kilo,26.42,Aurrera,kg,Si,0.454,7.0
121,Frutas y Verduras,Lechuga Italiana por pieza,18.9,Aurrera,unid.,Si,-61.981,7.0
322,Frutas y Verduras,Mangos en Cubos - Member's Mark,83.82,Sam's Club,kg,Si,-3.15,7.0
136,Frutas y Verduras,Manojo Cilantro,14.0,Aurrera,unid.,Si,,7.0
214,Frutas y Verduras,Pepino por kilo,29.95,Aurrera,kg,Si,-61.018,5.0
323,Frutas y Verduras,Piña en Almíbar kg,59.85,Sam's Club,kg,Si,3.7,15.0
312,Frutas y Verduras,Plátano Kg,36.64,,kg,Si,1.125,
135,Frutas y Verduras,Ramo epazote,10.0,Aurrera,unid.,No,,7.0
128,Frutas y Verduras,Tomate verde en malla 1kg,36.55,Aurrera,kg,Si,-1.722,7.0
248,Frutas y Verduras,Verduras Great Value congelados 500 g,50.0,Aurrera,kg,Si,,5.0
112,Frutas y Verduras,Zanahoria por kilo,11.5,Aurrera,kg,Si,-69.206,15.0
91,Harinas,HARINA PARA CREPAS,67.5,CUATRO HOJAS,kg,Si,-41.205,3.0
48,Harinas,Harina pastel Aurrera,81.4,Aurrera,kg,Si,-1.113,
92,Harinas,Mezcla Crepas,25.123,,unid.,Si,,13.0
