Id.,Categoría,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
158,Concentrados y Jarabes,Concentrado Moza Azul - L Sirope,1.0,L,1.0,L,,,La Casa del Cheff,69.0,69.0
151,Concentrados y Jarabes,Concentrado Pulpa de Mango - L Sirope,0.0,L,-0.385,L,,,La Casa del Cheff,70.0,
152,Concentrados y Jarabes,Concentrado Pulpa de Maracuya - L Sirope,1.0,L,1.0,L,,,La Casa del Cheff,70.0,70.0
298,Concentrados y Jarabes,Vainilla,,,,,,,,50.0,
73,Congelados,Alitas Picosas FC 6X2 KG,0.0,kg,-27.4,kg,4.0,kg,GRUVI,145.0,
311,Congelados,Aros de Cebolla Kg,0.9,kg,0.9,kg,,,GRUVI,88.51,79.659
237,Congelados,Boneless - Kg,0.0,kg,-26.017,kg,,,Carnicos B&B,128.0,
47,Congelados,Dedos de Queso Kg,0.487,kg,0.487,kg,1.5,kg,GRUVI,204.54,99.61098
310,Congelados,Jalapeños Rellenos Kg,3.645,kg,3.645,kg,,,GRUVI,178.03,648.91935
238,Congelados,Munchers Kg,1.778,kg,1.778,kg,2.0,kg,GRUVI,80.0,142.24
309,Congelados,Papa Carita Kg,0.0,kg,0.0,kg,,,GRUVI,152.0,
116,Congelados,Papa Corte Delgado Kg,0.0,kg,-29.959,kg,4.0,kg,GRUVI,52.57,
239,Congelados,Papa Corte Espiral Sazonado Kg,0.0,kg,0.0,kg,0.0,kg,GRUVI,72.95,
304,Congelados,Papa Corte Gajo Sazonados Kg,0.0,kg,-1.71,kg,,,GRUVI,62.0,
74,Congelados,Papa Corte Ondulado Kg,0.0,kg,0.0,kg,4.0,kg,GRUVI,53.01,
242,Congelados,Papa Corte Regular Cascara Kg,0.0,kg,-26.288,kg,,,GRUVI,53.01,
336,Congelados,Pizza Hawaiana Individual - FUD 265g,,,,,,,Sigma Foodservice,,
38,Congelados,Pizza Red Baron 1.97 Kg - 4 Quesos,11.0,unid.,11.0,unid.,2.0,unid.,Sam's Club,24.92,274.12
37,Congelados,Pizza Red Baron 1.97 Kg - Pepperoni,0.0,unid.,-6.0,unid.,2.0,unid.,Sam's Club,24.92,
209,"Consomés, salsas ya derezos",Salsa Hunts cuatro quesos 360 g,0.0,kg,-5.446,kg,,,Aurrera,82.0,
344,Decoración,Azúcar glass,,,,,,,Aurrera,55.0,
246,Decoración,Chamoy,0.0,L,-8.853,L,0.2,L,Aurrera,38.0,
153,Decoración,Confetti comestible,0.0,kg,0.0,kg,,,La Casa del Cheff,140.0,
294,Decoración,Granillo cappuccino,0.695,kg,0.695,kg,0.05,kg,,,
293,Decoración,Granillo fresa,1.273,kg,1.273,kg,0.05,kg,,,
226,Decoración,Perlas Explosivas Cereza 1kg - MIG,1.0,kg,1.0,kg,,,MIG,162.69,162.69
193,Decoración,Perlas Explosivas Chicle Azul - Colday,2.5,kg,2.5,kg,,,Colday,139.2,348.0
196,Decoración,Perlas explosivas Dragon Fruit - Colday,2.5,kg,2.5,kg,,,Colday,147.2,368.0
195,Decoración,Perlas explosivas fresa - Colday,2.5,kg,2.5,kg,,,Colday,139.2,348.0
192,Decoración,Perlas explosivas kiwi - Colday,2.5,kg,2.5,kg,,,Colday,139.2,348.0
194,Decoración,Perlas explosivas Mango - Colday,2.5,kg,2.5,kg,,,Colday,139.2,348.0
197,Decoración,Perlas explosivas Manzana Verde - Colday,2.5,kg,2.5,kg,,,Colday,139.2,348.0
63,Desechables,16MJ32 ENVASE DART BOWL MEDIO,0.0,unid.,-72.0,unid.,,,TD Empaques,0.5,
115,Desechables,Bolsa,,,,,,,TD Empaques,0.2,
145,Desechables,C-0 CAMISETA NEGRO P.B. (30*34),1.0,kg,1.0,kg,,,TD Empaques,48.0,48.0
146,Desechables,C-2 CAMISETA NEGRO P.B. (25*52),1.0,kg,1.0,kg,,,TD Empaques,55.0,55.0
147,Desechables,C-3 CAMISETA NEGRO P.B. (30*60),1.0,kg,1.0,kg,,,TD Empaques,55.0,55.0
88,Desechables,Charola 7 Cuevas,0.0,unid.,-712.0,unid.,,,TD Empaques,1.92,
144,Desechables,CHAROLA 7 REYMA,50.0,unid.,50.0,unid.,,,TD Empaques,1.1,55.0
241,Desechables,CHAROLA P/ALIMENTOS MINI BCO [ECO403],,,,,,,GRUVI,3.88,
61,Desechables,Contenedor 7x7 Liso Reyma,0.0,unid.,-536.0,unid.,,,TD Empaques,2.1,
102,Desechables,Contenedor 8x8 Liso Bio Reyma,,,,,,,TD Empaques,2.5,
106,Desechables,CUCHARA PASTELERA,20.0,unid.,20.0,unid.,,,Tienda Abarrotes,1.0,20.0
68,Desechables,FAJILLA DE CARTON INIX (BODYCUP),100.0,unid.,100.0,unid.,,,TD Empaques,0.65,65.0
60,Desechables,Hamburguesera Chimex Bio,0.0,unid.,-1408.0,unid.,,,TD Empaques,0.72,
164,Desechables,POPOTE PARA TAPIOCA,,,,,,,TD Empaques,80.0,
69,Desechables,PORTAVASO,0.0,unid.,0.0,unid.,,,TD Empaques,3.5,
80,Desechables,ROLLO PARA MÁQUINA SELLADORA 90MM,,,,,,,,1.05,
101,Desechables,TAPA 00 CUEVAS,0.0,unid.,-627.0,unid.,,,TD Empaques,0.2,
103,Desechables,TAPA 0 INIX (TS1),,,,,,,TD Empaques,0.2,
143,Desechables,TAPA 0 PRIMO,100.0,unid.,100.0,unid.,,,TD Empaques,0.2,20.0
64,Desechables,TAPA 32 JL 10 PAQ/100 PZA DART,100.0,unid.,100.0,unid.,,,TD Empaques,1.08,108.0
229,Desechables,Tapa Domo 16oz - MIG,702.0,unid.,702.0,unid.,,,MIG,1.09,765.18
65,Desechables,TAPA DOMO 16 REYMA,0.0,unid.,-734.0,unid.,,,TD Empaques,0.76,
82,Desechables,TAPA DOMO DL92 INIX C/1000 PZA,,,,,,,TD Empaques,0.7,
84,Desechables,TAPA DOMO DL98 INIX,,,,,,,COMERCIAL DE VASOS,0.95,
98,Desechables,TAPA PL2 (TS2) INIX,,,,,,,TD Empaques,0.38,
141,Desechables,TAPA TRAVEL 16 MICHAN,50.0,unid.,50.0,unid.,,,TD Empaques,0.88,44.0
67,Desechables,TAPA TRAVELER 16 INIX (TPS16N),49.0,unid.,49.0,unid.,,,TD Empaques,1.1,53.9
150,Desechables,TENEDOR SOPERO CLASSY,0.0,unid.,-102.0,unid.,,,TD Empaques,0.52,
100,Desechables,VASO 00 CUEVAS,0.0,unid.,-627.0,unid.,,,TD Empaques,0.17,
104,Desechables,VASO 0 INIX (S100),,,,,,,TD Empaques,0.3,
142,Desechables,VASO 0 PRIMO,100.0,unid.,100.0,unid.,,,TD Empaques,0.19,19.0
79,Desechables,VASO 14 PET INIX LC14,,,,,,,TD Empaques,1.36,
78,Desechables,VASO 16 INIX (V16L),,,,,,,TD Empaques,1.2,
81,Desechables,VASO 16L REYMA,0.0,unid.,-1808.0,unid.,,,COMERCIAL DE VASOS,1.08,
140,Desechables,VASO ENCERADO 12 BLANCO INIX (VPP12),50.0,unid.,50.0,unid.,,,TD Empaques,1.8,90.0
66,Desechables,VASO ENCERADO 16 BLANCO LA UNIVERSAL,100.0,unid.,100.0,unid.,,,TD Empaques,1.7,170.0
83,Desechables,VASO LC16 PET INIX,,,,,,,COMERCIAL DE VASOS,1.9,
230,Desechables,Vaso Pet16oz - MIG,999.0,unid.,999.0,unid.,,,MIG,2.15,2147.85
99,Desechables,VASO TH200 (S200) INIX,,,,,,,TD Empaques,0.44,
281,Dulces y Chocolates,Banderilla mango - El Gato,0.0,unid.,-4.533,unid.,,,DULCERIA LA ESPECIAL,50.66,
316,Dulces y Chocolates,Cajeta,0.149,kg,0.149,kg,0.1,kg,Aurrera,157.58,23.47942
335,Dulces y Chocolates,Chocolate en polvo Kg,1.4,kg,1.4,kg,,,Aurrera,98.57,137.998
284,Dulces y Chocolates,Chocomenta mini - selfies,0.435,kg,0.435,kg,,,DULCERIA LA ESPECIAL,115.78,50.3643
163,Dulces y Chocolates,CUANDA LUCKY MANGUITO 1/8,,,,,,,DULCERIA LA ESPECIAL,65.49,
283,Dulces y Chocolates,Gomitas Lombriz - Cuanda 1kg,0.0,kg,-4.319,kg,,,DULCERIA LA ESPECIAL,93.0,
334,Dulces y Chocolates,Jarabe Caramelo,0.68,kg,0.68,kg,,,Aurrera,80.88,54.9984
313,Dulces y Chocolates,Jarabe Hershey's Chocolate kg,7.08,kg,7.08,kg,,,Sam's Club,87.0,615.96
216,Dulces y Chocolates,Jarabe Hershey's fresa kg,2.089,kg,2.089,kg,,,Aurrera,123.73,258.47197
288,Dulces y Chocolates,Kinder bueno - Ferrero 43g,3.0,unid.,3.0,unid.,5.0,unid.,DULCERIA LA ESPECIAL,18.22,54.66
286,Dulces y Chocolates,Mazapán Jumbo - La Rosa 50g,0.0,unid.,-32.0,unid.,,,DULCERIA LA ESPECIAL,4.63,
287,Dulces y Chocolates,Mazapan Polvo - La Rosa 1kg,0.0,kg,-6.354,kg,,,DULCERIA LA ESPECIAL,94.2,
215,Dulces y Chocolates,Mermelada McCormick zarzamora 670 g,0.5,unid.,0.5,unid.,,,Aurrera,59.0,29.5
368,Embutidos,chuleta ahumada,,,,,,,,25.0,
353,Embutidos,COMBINADA,,,,,,,Sigma Foodservice,0.0,
126,Embutidos,Mayonesa Cda,,,,,,,Aurrera,1.25,
247,Embutidos,Peperoni,0.0,kg,-2.941,kg,,,Aurrera,132.0,
351,Embutidos,QUESO,,,,,,,Sigma Foodservice,0.0,
202,Embutidos,Rebanada Jamón,0.0,unid.,-430.5,unid.,,,Aurrera,0.0,
352,Embutidos,SALCHICHA,,,,,,,Sigma Foodservice,0.0,
369,Embutidos,salchichas,,,,,,,,20.0,
133,Frutas y Verduras,Ajo,,,,,,,Aurrera,12.0,
113,Frutas y Verduras,Apio,,,,,,,Aurrera,82.35,
251,Frutas y Verduras,Champiñones,0.0,kg,0.0,kg,,,Sam's Club,,
249,Frutas y Verduras,Champiñones Monte Blanco (380 g),1.2,unid.,1.2,unid.,,,Sam's Club,57.55,69.06
319,Frutas y Verduras,Chile cuaresmeño por kilo,0.0,kg,-0.183,kg,,,Aurrera,50.0,
204,Frutas y Verduras,Chile de árbol Great Value 100 g,1.0,unid.,1.0,unid.,,,Aurrera,30.0,30.0
205,Frutas y Verduras,Chile guajillo por kilo,0.791,kg,0.791,kg,,,Aurrera,325.0,257.075
321,Frutas y Verduras,Chile habanero por kilo,0.098,kg,0.098,kg,,,Aurrera,108.48,10.63104
129,Frutas y Verduras,Chile Serrano por kilo,0.0,kg,-1.636,kg,,,Aurrera,97.0,
343,Frutas y Verduras,Fresa natural,,,,,,,Aurrera,140.0,
211,Frutas y Verduras,Jitomate saladet por kilo,0.454,kg,0.454,kg,0.3,kg,Aurrera,26.42,11.99468
121,Frutas y Verduras,Lechuga Italiana por pieza,0.0,unid.,-61.981,unid.,0.5,unid.,Aurrera,18.9,
322,Frutas y Verduras,Mangos en Cubos - Member's Mark,0.0,kg,-3.15,kg,,,Sam's Club,83.82,
136,Frutas y Verduras,Manojo Cilantro,,,,,,,Aurrera,14.0,
214,Frutas y Verduras,Pepino por kilo,0.0,kg,-61.018,kg,,,Aurrera,29.95,
323,Frutas y Verduras,Piña en Almíbar kg,3.7,kg,3.7,kg,,,Sam's Club,59.85,221.445
312,Frutas y Verduras,Plátano Kg,1.125,kg,1.125,kg,,,,36.64,41.22
128,Frutas y Verduras,Tomate verde en malla 1kg,0.0,kg,-1.722,kg,0.3,kg,Aurrera,36.55,
248,Frutas y Verduras,Verduras Great Value congelados 500 g,,,,,,,Aurrera,50.0,
112,Frutas y Verduras,Zanahoria por kilo,0.0,kg,-69.206,kg,0.3,kg,Aurrera,11.5,
91,Harinas,HARINA PARA CREPAS,0.0,kg,-41.205,kg,,,CUATRO HOJAS,67.5,
48,Harinas,Harina pastel Aurrera,0.0,kg,-1.113,kg,0.2,kg,Aurrera,81.4,
92,Harinas,Mezcla Crepas,0.0,unid.,,,,,,,
51,Harinas,Mezcla Masa Mini Donas Bote,0.0,unid.,,,,,,,
366,Harinas,miel maple,,,,,,,,0.0,
200,Harinas,Pan blanco Wonder con ajonjolí 567 g,0.0,unid.,-0.2,unid.,,,Aurrera,57.5,
201,Harinas,Rebanada Pan blanco Wonder con ajonjolí 567 g,0.0,unid.,,,,,Aurrera,,
45,Helados y Paletas,Bolsa de Hielo Fiesta 15 Kg,0.0,kg,-708.457,kg,5.0,kg,Sam's Club,7.5,
32,Helados y Paletas,Helado de Crema Member Mark Sabor Fresa 4.7 L,4.7,L,4.7,L,,,Sam's Club,40.27,189.269
296,Helados y Paletas,Mini Gansito - Marinela 24 gr,18.0,unid.,18.0,unid.,,,Sam's Club,6.15,110.7
295,Helados y Paletas,Mini Paletas Frutales - Ola Malú 28g,39.0,unid.,39.0,unid.,,,Sam's Club,,
305,Helados y Paletas,Nieve de Limón Member's Mark 4.7 L,2.882,L,2.882,L,,,Sam's Club,43.31,124.81942
29,Lácteos,Aderezo de Queso,0.0,kg,-90.534,kg,,,Sam's Club,84.41,
46,Lácteos,Clavel Polvo Caja 24 piezas 460gr,0.0,kg,-187.781,kg,1.0,kg,Delta Foods,174.82,
30,Lácteos,Crema de Avellana Member's Mark 1 kg,4.37,kg,4.37,kg,,,Sam's Club,121.74,532.0038
49,Lácteos,Huevo,0.0,unid.,-442.806,unid.,,,Aurrera,3.03,
207,Lácteos,Leche Condensada La Lechera Bolsa 670g,1.0,unid.,1.0,unid.,,,Aurrera,49.5,49.5
44,Lácteos,Leche Deslactosada - Santa Clara 1L,0.0,L,-135.56,L,4.0,L,Sam's Club,26.47,
218,Lácteos,Leche en polvo Carnation clavel Kg,0.0,kg,-13.017,kg,,,basura,134.78,
314,Lácteos,Leche Entera - Mermbers 1L,0.0,L,-83.994,L,,,Sam's Club,23.22,
43,Lácteos,Leche Entera - Santa Clara 1L,0.0,L,-259.423,L,6.0,L,Sam's Club,26.3,
87,Lácteos,Manga crema batida - On Top 453gr,0.0,kg,-100.253,kg,1.0,kg,Sigma Foodservice,138.0,
208,Lácteos,Margarina Iberia 4 en 1 kg,1.5,kg,1.5,kg,,,Aurrera,136.0,204.0
31,Lácteos,Queso Crema Philadelphia,0.0,kg,-12.665,kg,,,Sigma Foodservice,140.0,
198,Lácteos,Queso manchego Rebanada,13.0,unid.,13.0,unid.,5.0,unid.,Aurrera,3.5,45.5
108,Lácteos,Queso Mozzarella,0.0,kg,-30.495,kg,,,Sigma Foodservice,122.0,
317,Lácteos,Rebanada Queso Amarillo,13.0,unid.,13.0,unid.,4.0,unid.,Aurrera,2.94,38.22
97,Lácteos,Santa Clara Vainilla 200ml,,,,,,,Tienda Abarrotes,5.0,
257,Mermeladas,Manga cereza negra - Estrali 1Kg,0.892,kg,0.892,kg,,,Todo para el panadero,41.0,36.572
258,Mermeladas,Manga crema pastelera - Lastur 1kg,1.0,kg,1.0,kg,,,Todo para el panadero,28.0,28.0
259,Mermeladas,Manga mermelada fresa - 1kg,0.892,kg,0.892,kg,,,Todo para el panadero,36.0,32.112
260,Mermeladas,Manga mermelada frutos rojos - 1kg,1.0,kg,1.0,kg,,,Todo para el panadero,38.0,38.0
261,Mermeladas,Manga mermelada zarzamora - 1kg,1.0,kg,1.0,kg,,,Todo para el panadero,39.0,39.0
62,Papel de empaque,Papel alimenticio,0.0,kg,-3.288,kg,,,TD Empaques,50.0,
148,Papel de empaque,PAPEL DIA DE MUERTOS,0.5,kg,0.5,kg,,,TD Empaques,100.0,50.0
149,Papel de empaque,PELICULA 600 INIX (CLR-600),1.0,unid.,1.0,unid.,,,TD Empaques,120.0,120.0
89,Papel de empaque,Rollo Aluminio,0.0,unid.,-1293.0,unid.,,,TD Empaques,0.61,
110,Perlas y Tapioca,Miel mapple,0.0,L,-2.572,L,,,3B,192.0,
240,Perlas y Tapioca,Perlas Explosivas Chocolate - Tea Zone 3.2Kg,,,,,,,Tea Zone,175.0,
77,Perlas y Tapioca,Tapioca,,,,,,,,91.48,
302,Refrescos,Arizona Kiwi Fresa,0.0,unid.,0.0,unid.,2.0,unid.,Sam's Club,15.25,
