Modificador,ID Grupo modificador,Título,Mínima cantidad,Máxima cantidad
CAJETA - CREPA,2,Agrega tus toppings,0,10
LECHERA - CREPA,2,Agrega tus toppings,0,10
PHILADELPHIA - CREPA,2,Agrega tus toppings,0,10
KINDER BUENO - CREPA,2,Agrega tus toppings,0,10
KINDER DELICE - CREPA,2,Agrega tus toppings,0,10
CREMA BATIDA - CREPA,2,Agrega tus toppings,0,10
NUTELLA - CREPAa,2,Agrega tus toppings,0,10
Mini Donas Cajeta,79,,1,1
Mini Donas Chocolate,79,,1,1
Mini Donas Lechera,79,,1,1
Mini Donas Fresa,79,,1,1
Mini Donas Nutella,79,,1,1
Mini Donas Zarzamora,79,,1,1
