Id.,Categoría,Código,Nombre,Disponibilidad,Unidad,Stock,Unidad.1,Stock Mínimo,Unidad.2,Proveedor,Costo unitario,Costo total
11,Frappé's Gatunos,,BAILEYS FRAPPÉ,0.0,unid.,,,,,,,
12,Frappé's Gatunos,,CAJETA FRAPPÉ,2.0,unid.,,,,,,,
414,Frappé's Gatunos,,CALABAZA FRAPPÉ,,,,,,,,,
284,Frappé's Gatunos,,CAPPUCCINO FRAPPÉ,,,,,,,,,
14,Frappé's Gatunos,,CEREZA FRAPPÉ,,,,,,,,,
16,Frappé's Gatunos,,CHAI MANZANA CANELA FRAPPÉ,,,,,,,,,
401,Frappé's Gatunos,,CHAI VAINILLA FRAPPÈ,,,,,,,,,
20,Frappé's Gatunos,,CHEESECAKE FRAPPÉ,,,,,,,,,
19,Frappé's Gatunos,,CHOCO AVELLANA FRAPPÉ,,,,,,,,,
18,Frappé's Gatunos,,CHOCOLATE BLANCO FRAPPÉ,,,,,,,,,
17,Frappé's Gatunos,,CHOCOLATE FRAPPÉ,,,,,,,,,
829,Frappé's Gatunos,,CHOCORETAS FRAPPÉ,,,,,,,,,
77,Frappé's Gatunos,,CONEJITO TURÍN FRAPPÉ,0.0,unid.,,,,,,,
78,Frappé's Gatunos,,COOKIES & CREAM (OREO) FRAPPÉ,0.0,unid.,,,,,,,
305,Frappé's Gatunos,,CREMA BATIDA,0.0,unid.,,,,,,,
79,Frappé's Gatunos,,FERRERO FRAPPÉ,0.0,unid.,,,,,,15.0,
13,Frappé's Gatunos,,FRAPPÉ 14 OZ (CH),0.0,unid.,,,,,,0.0,
285,Frappé's Gatunos,,FRAPPÉ 16 OZ (G),0.0,unid.,,,,,,,
283,Frappé's Gatunos,FRAPPE,FRAPPÉ GATUNO,0.0,unid.,,,,,,,
412,Frappé's Gatunos,,FRUTOS ROJOS FRAPPE,,,,,,,,,
708,Frappé's Gatunos,,GANSITO FRAPPE,18.0,unid.,,,,,,,
22,Frappé's Gatunos,,HORCHATA FRAPPÉ,,,,,,,,,
407,Frappé's Gatunos,,JAVA CHIPS FRAPPÉ,,,,,,,,,
303,Frappé's Gatunos,,KITKAT FRAPPÉ,,,,,,,,,
845,Frappé's Gatunos,,MAGNUM FRAPPE,,,,,,,,15.0,
23,Frappé's Gatunos,,MARSHMALLOW CHOCOLATE FRAPPÉ,,,,,,,,,
24,Frappé's Gatunos,,MATCHA FRAPPÉ,,,,,,,,,
75,Frappé's Gatunos,,MAZAPÁN FRAPPÉ,0.0,unid.,,,,,,,
25,Frappé's Gatunos,,MOKACCINO FRAPPÉ,,,,,,,,,
638,Frappé's Gatunos,,PAN DE MUERTO FRAPPÉ,,,,,,,,,
76,Frappé's Gatunos,,PAY DE LIMÓN FRAPPÉ,,,,,,,,,
26,Frappé's Gatunos,,PISTACHE FRAPPÉ,,,,,,,,,
27,Frappé's Gatunos,,RED VELVET CHOCOLATE FRAPPÉ,,,,,,,,,
28,Frappé's Gatunos,,STRAWBERRY CREAM (FRESA) FRAPPÉ,5.0,unid.,,,,,,,
29,Frappé's Gatunos,,TARO FRAPPÉ,,,,,,,,,
375,Frappé's Gatunos,,TARO PURPLE FRAPPÉ,,,,,,,,,
