ID,Categoría,Subcategoría,Código,Nombre del articulo,Descripción,Tipo de articulo,Precio,Costo,Proveedor,Activo,Favorito,Control de Stock,Stock,Margen,Contiene modificadores,Permitir vender solo,Posición,SKU,Nombre de variante,GTIN
700,Bebidas Gatunas,Bebidas Coreanas,,CANTABILE CAFÉ VAINILLA AMERICANO,,Alimentos y bebidas preparados,47,32.48,MEGAZONE,Si,No,Si,0,14.52,No,Si,56600000,,,
694,Bebidas Gatunas,Bebidas Coreanas,,CANTABILE MANZANA,,Alimentos y bebidas preparados,47,32.48,MEGAZONE,Si,No,Si,0,14.52,No,Si,56100000,,,
693,Bebidas Gatunas,Bebidas Coreanas,,CANTABILE NARANJA,,Alimentos y bebidas preparados,47,32.48,MEGAZONE,Si,No,Si,2,14.52,No,Si,56000000,,,
699,Bebidas Gatunas,Bebidas Coreanas,,CANTABILE UVA VERDE,,Alimentos y bebidas preparados,47,32.48,MEGAZONE,Si,No,Si,2,14.52,No,Si,56500000,,,
582,Bebidas Gatunas,Bebidas Coreanas,,Chupa Chups,,Alimentos y bebidas preparados,70,,,No,No,No,,,No,Si,44900000,,,
423,Bebidas Gatunas,Bebidas Coreanas,,CHUPA CHUPS BEBIDA FRESA,,Alimentos y bebidas preparados,45,32,,Si,No,Si,3,13,No,Si,29200000,,,
692,Bebidas Gatunas,Bebidas Coreanas,,CHUPA CHUPS BEBIDA MELÓN CREMOSA,,Alimentos y bebidas preparados,45,,,Si,No,Si,0,,No,Si,55900000,,,
424,Bebidas Gatunas,Bebidas Coreanas,,CHUPA CHUPS BEBIDA NARANJA,,Alimentos y bebidas preparados,45,32.2,,Si,No,Si,0,12.8,No,Si,29300000,,,
381,Bebidas Gatunas,Bebidas Coreanas,,CHUPA CHUPS BEBIDA UVA,,Alimentos y bebidas preparados,45,32.2,,Si,No,Si,0,12.8,No,Si,25800000,,,
716,Bebidas Gatunas,Bebidas Coreanas,,COMBO SOJU MILKI,,Alimentos y bebidas preparados,125,71.76,,Si,No,Si,,53.24,Si,Si,58000000,,,
677,Bebidas Gatunas,Bebidas Coreanas,,COOL MOJITO - PURE PLUS 500ml,¡Delicioso Mojito! Bebida coreana sabor mojito de Lima-manzana y menta. No contiene alcohol. ¡Tómalo bien frío para un sabor más refrescante y delicioso!,Alimentos y bebidas preparados,55,31.75,MEGAFOOD,Si,No,Si,3,23.25,No,Si,54400000,,,
678,Bebidas Gatunas,Bebidas Coreanas,,COOL PIÑA COLADA - PURE PLUS 500 ml,,Alimentos y bebidas preparados,55,31.75,,Si,No,Si,0,23.25,No,Si,54500000,,,
584,Bebidas Gatunas,Bebidas Coreanas,,Could Brew Bts,,Alimentos y bebidas preparados,65,,,No,No,No,,,No,Si,45100000,,,
580,Bebidas Gatunas,Bebidas Coreanas,,Frais Juis,,Alimentos y bebidas preparados,39,,,No,No,No,,,No,Si,44700000,,,
422,Bebidas Gatunas,Bebidas Coreanas,,FRAIS JUS HALLABONG,,Alimentos y bebidas preparados,27,,,Si,No,Si,0,,No,Si,29100000,,,
200,Bebidas Gatunas,Bebidas Coreanas,,FRAIS JUS MANGO,,Alimentos y bebidas preparados,27,,,Si,No,Si,0,,No,Si,1300000,,,
421,Bebidas Gatunas,Bebidas Coreanas,,FRAIS JUS PIÑA,,Alimentos y bebidas preparados,27,,,Si,No,Si,0,,No,Si,29000000,,,
585,Bebidas Gatunas,Bebidas Coreanas,,Haita Coco Palm Sabor Mango,,Alimentos y bebidas preparados,58,,,No,No,No,,,No,Si,45200000,,,
374,Bebidas Gatunas,Bebidas Coreanas,,HAITAI BONG BONG UVA 238ml,,Alimentos y bebidas preparados,39,22,,Si,No,Si,0,17,No,Si,25100000,,,
462,Bebidas Gatunas,Bebidas Coreanas,,HAITAI COCO PALM MANGO 340ml,,Alimentos y bebidas preparados,40,21.27,DOKSURI,Si,No,Si,1,18.73,No,Si,33000000,,,
669,Bebidas Gatunas,Bebidas Coreanas,,HAITAI PERA,,Alimentos y bebidas preparados,39,36.1,DOKSURI,Si,No,Si,4,2.9,No,Si,53600000,,,
695,Bebidas Gatunas,Bebidas Coreanas,,HATA MORA AZUL,,Alimentos y bebidas preparados,65,,,Si,No,No,,,No,Si,56200000,,,
657,Bebidas Gatunas,Bebidas Coreanas,,HAZELNUT - MCNULTY,,Alimentos y bebidas preparados,47,25,DOKSURI,Si,No,Si,1,22,Si,Si,52400000,,,
642,Bebidas Gatunas,Bebidas Coreanas,,ICE TALK BLUE LEMON,,Alimentos y bebidas preparados,47,27.6125,,Si,No,Si,,19.3875,No,Si,50900000,,,
640,Bebidas Gatunas,Bebidas Coreanas,,ICE TALK DURAZNO,,Alimentos y bebidas preparados,47,27.77,DOKSURI,Si,No,Si,,19.23,No,Si,50700000,,,
641,Bebidas Gatunas,Bebidas Coreanas,,ICE TALK SANDIA,,Alimentos y bebidas preparados,47,27.77,DOKSURI,Si,No,Si,,19.23,No,Si,50800000,,,
306,Bebidas Gatunas,Bebidas Coreanas,,milkis,,Alimentos y bebidas preparados,0,0,,No,No,No,,0,No,No,19000000,,,
465,Bebidas Gatunas,Bebidas Coreanas,,MILKIS DURAZNO 250 ml,,Alimentos y bebidas preparados,35,21,,Si,No,Si,27,14,No,Si,33300000,,,
373,Bebidas Gatunas,Bebidas Coreanas,,MILKIS FRESA 250 ml,,Alimentos y bebidas preparados,35,23,,Si,No,Si,0,12,No,Si,25000000,,,
710,Bebidas Gatunas,Bebidas Coreanas,,MILKIS MANZANA 250 ml,,Alimentos y bebidas preparados,35,,,Si,No,Si,1,,No,Si,57400000,,,
371,Bebidas Gatunas,Bebidas Coreanas,,MILKIS MELÓN 250 ml,,Alimentos y bebidas preparados,35,23,,Si,No,Si,8,12,No,Si,24800000,,,
372,Bebidas Gatunas,Bebidas Coreanas,,MILKIS ORIGINAL 250 ml,,Alimentos y bebidas preparados,35,21,,Si,No,Si,26,14,No,Si,24900000,,,
438,Bebidas Gatunas,Bebidas Coreanas,,Paldo BTS Cold Brew Americano,"es café americano preparado en frío (cold brew) listo para consumir, a los amantes del café y fans de BTS les encantará.",Alimentos y bebidas preparados,65,41.55,Asiaon Mart,Si,No,Si,0,23.45,No,Si,30600000,,,
738,Bebidas Gatunas,Bebidas Coreanas,,Ponche De Arroz - Paldo Shikhye,,Alimentos y bebidas preparados,25,19,Asiaon Mart,Si,No,Si,7,6,No,Si,60200000,,,
705,Bebidas Gatunas,Bebidas Coreanas,,RAMINE LIMON,,Alimentos y bebidas preparados,65,,,Si,No,No,,,No,Si,56900000,,,
583,Bebidas Gatunas,Bebidas Coreanas,,Ramune,,Alimentos y bebidas preparados,94,,,No,No,No,,,No,Si,45000000,,,
435,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE FRESA,"Refresco tradicional japonés, La forma única de la botella y cómo está sellada con una canica hace que sea divertido y gratificante de abrir.",Alimentos y bebidas preparados,65,53.36,Asiaon Mart,Si,No,Si,0,11.64,No,Si,30300000,,,
707,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE LIMON,,Alimentos y bebidas preparados,65,,,Si,No,Si,2,,No,Si,57100000,,,
437,Bebidas Gatunas,Bebidas Coreanas,,RAMUNE LYCHEE,"Refresco tradicional japonés, La forma única de la botella y cómo está sellada con una canica hace que sea divertido y gratificante de abrir.",Alimentos y bebidas preparados,65,46.92,,Si,No,Si,0,18.08,No,Si,30500000,,,
